removed_top_n,positive_ratio_remaining
1,0.1989051094890511
2,0.19926873857404023
3,0.19963369963369965
4,0.2
5,0.20036764705882354
6,0.2007366482504604
7,0.2011070110701107
8,0.20147874306839186
9,0.20185185185185187
10,0.20222634508348794
11,0.20260223048327136
12,0.20297951582867785
13,0.20335820895522388
14,0.20373831775700935
15,0.20411985018726592
16,0.2045028142589118
17,0.20488721804511278
18,0.20527306967984935
19,0.20566037735849058
20,0.2060491493383743
21,0.20643939393939395
22,0.20683111954459202
23,0.20722433460076045
24,0.20761904761904762
25,0.20801526717557253
26,0.2084130019120459
27,0.20881226053639848
28,0.2092130518234165
29,0.20961538461538462
30,0.21001926782273603
31,0.21042471042471042
32,0.21083172147001933
33,0.21124031007751937
34,0.21165048543689322
35,0.21206225680933852
36,0.2124756335282651
37,0.212890625
38,0.21330724070450097
39,0.21372549019607842
40,0.21414538310412573
41,0.21456692913385828
42,0.21499013806706113
43,0.21541501976284586
44,0.21584158415841584
45,0.21626984126984128
46,0.21669980119284293
47,0.21713147410358566
48,0.21756487025948104
49,0.218
50,0.218436873747495
51,0.21887550200803213
52,0.2193158953722334
53,0.21975806451612903
54,0.2202020202020202
55,0.22064777327935223
56,0.2210953346855984
57,0.22154471544715448
58,0.2219959266802444
59,0.22244897959183674
60,0.2229038854805726
61,0.22336065573770492
62,0.22381930184804927
63,0.2242798353909465
64,0.22474226804123712
65,0.22520661157024793
66,0.22567287784679088
67,0.22614107883817428
68,0.22661122661122662
69,0.22708333333333333
70,0.22755741127348644
71,0.2280334728033473
72,0.22851153039832284
73,0.22899159663865545
74,0.2294736842105263
75,0.229957805907173
76,0.23044397463002114
77,0.2309322033898305
78,0.23142250530785563
79,0.23191489361702128
80,0.232409381663113
81,0.2329059829059829
82,0.2334047109207709
83,0.23390557939914164
84,0.23440860215053763
85,0.2349137931034483
86,0.23542116630669546
87,0.23593073593073594
88,0.23644251626898047
89,0.23695652173913043
90,0.2374727668845316
91,0.23799126637554585
92,0.23851203501094093
93,0.23903508771929824
94,0.23956043956043957
95,0.24008810572687225
96,0.24061810154525387
97,0.2411504424778761
98,0.24168514412416853
99,0.24222222222222223
100,0.24276169265033407
101,0.24330357142857142
102,0.24384787472035793
103,0.24439461883408073
104,0.2449438202247191
105,0.24549549549549549
106,0.24604966139954854
107,0.24660633484162897
108,0.2471655328798186
109,0.24772727272727274
110,0.24829157175398633
111,0.24885844748858446
112,0.2494279176201373
113,0.25
114,0.25057471264367814
115,0.2511520737327189
116,0.2517321016166282
117,0.2523148148148148
118,0.2529002320185615
119,0.2534883720930233
120,0.2540792540792541
121,0.2546728971962617
122,0.25526932084309134
123,0.25586854460093894
124,0.2564705882352941
125,0.25707547169811323
126,0.2576832151300236
127,0.25829383886255924
128,0.2589073634204275
129,0.25952380952380955
130,0.26014319809069214
131,0.2607655502392344
132,0.26139088729016785
133,0.2620192307692308
134,0.26265060240963856
135,0.2632850241545894
136,0.2639225181598063
137,0.2645631067961165
138,0.26520681265206814
139,0.2658536585365854
140,0.2665036674816626
141,0.26715686274509803
142,0.2678132678132678
143,0.2684729064039409
144,0.2691358024691358
145,0.2698019801980198
146,0.2704714640198511
147,0.27114427860696516
148,0.2718204488778055
149,0.2725
150,0.2731829573934837
151,0.27386934673366836
152,0.27455919395465994
153,0.27525252525252525
154,0.2759493670886076
155,0.2766497461928934
156,0.27735368956743
157,0.2755102040816326
158,0.27621483375959077
159,0.27692307692307694
160,0.2776349614395887
161,0.27835051546391754
162,0.27906976744186046
163,0.27979274611398963
164,0.2805194805194805
165,0.28125
166,0.2819843342036554
167,0.28272251308900526
168,0.28346456692913385
169,0.28421052631578947
170,0.2849604221635884
171,0.2857142857142857
172,0.2838196286472148
173,0.2845744680851064
174,0.2853333333333333
175,0.28609625668449196
176,0.2868632707774799
177,0.28763440860215056
178,0.2884097035040431
179,0.2891891891891892
180,0.2899728997289973
181,0.2907608695652174
182,0.29155313351498635
183,0.2923497267759563
184,0.29315068493150687
185,0.29120879120879123
186,0.29201101928374656
187,0.292817679558011
188,0.29362880886426596
189,0.29444444444444445
190,0.29526462395543174
191,0.29608938547486036
192,0.29411764705882354
193,0.2949438202247191
194,0.29577464788732394
195,0.2966101694915254
196,0.29745042492917845
197,0.29829545454545453
198,0.29914529914529914
199,0.3
200,0.3008595988538682
201,0.3017241379310345
202,0.3025936599423631
203,0.30346820809248554
204,0.30434782608695654
205,0.30523255813953487
206,0.30612244897959184
207,0.30409356725146197
208,0.30498533724340177
209,0.3029411764705882
210,0.30383480825958703
211,0.3047337278106509
212,0.3056379821958457
213,0.30654761904761907
214,0.3074626865671642
215,0.3083832335329341
216,0.30930930930930933
217,0.3102409638554217
218,0.3081570996978852
219,0.3090909090909091
220,0.3069908814589666
221,0.3079268292682927
222,0.308868501529052
223,0.3098159509202454
224,0.31076923076923074
225,0.3117283950617284
226,0.3126934984520124
227,0.3136645962732919
228,0.3146417445482866
229,0.315625
230,0.3166144200626959
231,0.31761006289308175
232,0.3186119873817035
233,0.31962025316455694
234,0.32063492063492066
235,0.321656050955414
236,0.3226837060702875
237,0.32371794871794873
238,0.3247588424437299
239,0.3258064516129032
240,0.3268608414239482
241,0.32792207792207795
242,0.3289902280130293
243,0.3300653594771242
244,0.33114754098360655
245,0.32894736842105265
246,0.33003300330033003
247,0.33112582781456956
248,0.33222591362126247
249,0.33
250,0.3311036789297659
251,0.33221476510067116
252,0.3333333333333333
253,0.3344594594594595
254,0.33559322033898303
255,0.3333333333333333
256,0.33447098976109213
257,0.3356164383561644
258,0.33676975945017185
259,0.33793103448275863
260,0.3391003460207612
261,0.3402777777777778
262,0.34146341463414637
263,0.34265734265734266
264,0.34385964912280703
265,0.34507042253521125
266,0.3462897526501767
267,0.3475177304964539
268,0.3487544483985765
269,0.3464285714285714
270,0.34767025089605735
271,0.3489208633093525
272,0.35018050541516244
273,0.35144927536231885
274,0.3527272727272727
275,0.354014598540146
276,0.3553113553113553
277,0.35661764705882354
278,0.35793357933579334
279,0.3592592592592593
280,0.36059479553903345
281,0.3582089552238806
282,0.3595505617977528
283,0.3609022556390977
284,0.3622641509433962
285,0.36363636363636365
286,0.3650190114068441
287,0.366412213740458
288,0.367816091954023
289,0.36923076923076925
290,0.3667953667953668
291,0.3643410852713178
292,0.3657587548638132
293,0.3671875
294,0.3686274509803922
295,0.3700787401574803
296,0.3715415019762846
297,0.373015873015873
298,0.3745019920318725
299,0.376
300,0.37751004016064255
301,0.375
302,0.3765182186234818
303,0.3780487804878049
304,0.3795918367346939
305,0.38114754098360654
306,0.38271604938271603
307,0.384297520661157
308,0.38589211618257263
309,0.3875
310,0.3891213389121339
311,0.3907563025210084
312,0.3924050632911392
313,0.3898305084745763
314,0.3872340425531915
315,0.38461538461538464
316,0.38626609442060084
317,0.38362068965517243
318,0.3852813852813853
319,0.3869565217391304
320,0.38427947598253276
321,0.38596491228070173
322,0.3876651982378855
323,0.3893805309734513
324,0.39111111111111113
325,0.39285714285714285
326,0.39461883408071746
327,0.3918918918918919
328,0.3936651583710407
329,0.39545454545454545
330,0.3972602739726027
331,0.39908256880733944
332,0.4009216589861751
333,0.39814814814814814
334,0.4
335,0.40186915887850466
336,0.40375586854460094
337,0.4056603773584906
338,0.4075829383886256
339,0.4095238095238095
340,0.41148325358851673
341,0.41346153846153844
342,0.41545893719806765
343,0.4174757281553398
344,0.4195121951219512
345,0.4166666666666667
346,0.4187192118226601
347,0.4207920792079208
348,0.4228855721393035
349,0.425
350,0.4271356783919598
351,0.42424242424242425
352,0.4263959390862944
353,0.42346938775510207
354,0.4256410256410256
355,0.42783505154639173
356,0.42487046632124353
357,0.4270833333333333
358,0.4293193717277487
359,0.43157894736842106
360,0.43386243386243384
361,0.43617021276595747
362,0.43315508021390375
363,0.43548387096774194
364,0.43783783783783786
365,0.43478260869565216
366,0.43169398907103823
367,0.42857142857142855
368,0.430939226519337
369,0.42777777777777776
370,0.4301675977653631
371,0.43258426966292135
372,0.4350282485875706
373,0.4318181818181818
374,0.42857142857142855
375,0.43103448275862066
376,0.43352601156069365
377,0.43023255813953487
378,0.4327485380116959
379,0.43529411764705883
380,0.4319526627218935
381,0.43452380952380953
382,0.4311377245508982
383,0.42771084337349397
384,0.4303030303030303
385,0.4329268292682927
386,0.43558282208588955
387,0.4382716049382716
388,0.4409937888198758
389,0.44375
390,0.44654088050314467
391,0.44936708860759494
392,0.45222929936305734
